file	Axis_of_bearing.brep	ConicalSurface=14,SphericalSurface=2,ToroidalSurface=26
solid	Motor-c.brep	257	unsupported	54	81	29	29	1	1
solid	Motor-c.brep	378	unsupported	28	44	26	20	1	1
solid	Motor-c.brep	413	representable	8	12	6	6	1	1
solid	Motor-c.brep	479	representable	16	24	12	11	1	1
solid	Motor-c.brep	531	representable	12	18	10	9	1	1
solid	Motor-c.brep	554	representable	4	6	6	4	1	1
solid	Motor-c.brep	578	representable	4	6	6	5	1	1
solid	Motor-c.brep	699	unsupported	33	49	18	18	1	1
solid	Motor-c.brep	722	representable	4	6	6	4	1	1
solid	Motor-c.brep	757	representable	8	12	6	6	1	1
solid	Motor-c.brep	801	representable	8	12	12	9	1	1
solid	Motor-c.brep	850	representable	12	18	8	8	1	1
solid	Motor-c.brep	1057	unsupported	50	85	35	34	1	1
solid	Motor-c.brep	1237	unsupported	48	72	30	27	1	1
solid	Motor-c.brep	1272	representable	8	12	6	6	1	1
solid	Motor-c.brep	1370	unsupported	22	33	23	17	1	1
file	Pump_Nut.brep	BSplineCurve2d=26,ConicalSurface=2,Hyperbola2d=26,ToroidalSurface=2,TrimmedCurve=26
solid	Pump_Nut.brep	164	unsupported	44	67	27	25	1	1
file	Pump_TopCover.brep	BSplineCurve=6,BSplineCurve2d=4,BSplineSurface=2,SphericalSurface=4
solid	Pump_TopCover.brep	45	unsupported	10	16	10	8	1	1
file	Room.brep	-
file	Top.brep	BSplineCurve=308,BSplineCurve2d=282,BSplineSurface=107,ConicalSurface=4,SphericalSurface=8,SurfaceOfRevolution=3,ToroidalSurface=71,TrimmedCurve=4,TrimmedCurve2d=61
solid	Top.brep	1843	unsupported	426	755	337	324	1	1
file	asahi.brep	-
file	bottle.brep	BSplineCurve=8,BSplineCurve2d=8,BSplineSurface=2,Ellipse2d=1,RectangularTrimmedSurface=1,SphericalSurface=16,ToroidalSurface=8
solid	bottle.brep	378	unsupported	75	157	74	71	1	1
file	edge.brep	-
file	face.brep	-
file	face1.brep	-
file	face2.brep	BSplineCurve=4,BSplineCurve2d=6,BSplineSurface=4,Ellipse2d=2,RectangularTrimmedSurface=1,ToroidalSurface=5,TrimmedCurve=2
file	fuse.brep	BSplineCurve2d=3,SphericalSurface=1
file	hammer.brep	BSplineCurve=104,BSplineCurve2d=208,BSplineSurface=45
file	mal_ecrou.brep	-
solid	mal_ecrou.brep	8	representable	2	3	3	3	1	1
file	mal_tige.brep	-
solid	mal_tige.brep	42	representable	12	18	12	8	1	1
file	mal_vis.brep	ToroidalSurface=1
solid	mal_vis.brep	24	unsupported	5	8	7	6	1	1
file	shell1.brep	BSplineCurve=216,BSplineCurve2d=34,BSplineSurface=99
file	solid.brep	-
solid	solid.brep	42	representable	12	18	12	8	1	1
file	terrain.brep	BSplineCurve=4,BSplineSurface=1
file	wedge_ok.brep	-
solid	wedge_ok.brep	33	representable	8	12	6	6	1	1
file	wing.brep	BSplineCurve=16,BSplineSurface=4
